Gene Name	Low1	Low2	Low3	Low4	High1	High2	High3	High4							
fimI	1	1	1	1	0	0	1	0							
tatC	1	1	1	1	0	1	0	0							
metL	1	1	1	1	0	0	0	0							
gcvP	1	1	1	1	0	0	0	0							
purL	1	1	1	1	0	0	0	0							
fimD	1	1	0	0	0	1	1	1							
waaY	1	0	1	0	0	0	0	0							
ybcV	1	0	1	0	0	0	0	0							
wbbK	1	1	1	1	0	0	0	0							
waaL	1	0	0	1	0	0	0	0							
gadE	1	0	1	1	0	0	0	0							
wzxB	1	0	1	0	0	0	0	0							
fimE	1	1	1	1	1	1	1	0							
ypjC	1	1	1	1	0	0	0	0							
yhiL	1	1	1	1	0	0	0	0							
purH	0	1	0	0	0	0	0	0							
marR	0	0	1	1	0	0	0	0							
marC	0	0	1	0	0	0	0	0							
frdD	0	0	1	0	0	0	0	0							
creA	0	0	1	0	0	0	0	0							
ompF	0	0	1	0	0	0	0	0							
galU	0	0	1	0	0	0	0	0							
yabP	0	0	1	0	0	0	0	0							
rbsB	0	0	1	0	0	0	0	0							
soxR	0	0	1	0	0	0	1	0							
carB	0	0	1	0	0	0	0	0							
purD	0	0	1	0	0	0	0	0							
yhhH	0	0	1	0	0	0	0	0							
yjcF	0	0	1	0	0	0	0	0							
arpA	0	0	1	0	0	0	0	0							
yjbI	0	0	1	0	0	0	0	0							
ycjD	0	0	0	0	1	1	1	1							
acrR	0	0	0	0	1	1	1	1							
yhbJ	0	0	0	0	1	1	1	1							
ptsN	0	0	0	0	1	1	1	1							
trkA	0	0	0	0	1	1	1	1							
fadR	0	0	0	0	1	1	1	0							
acrB	0	0	0	0	1	1	1	0							
pcnB	0	0	0	0	0	1	1	0							
aroK	0	0	0	0	0	1	1	0							
nusA	0	0	0	0	0	1	1	0							
aroB	0	0	0	0	0	1	1	0							
mprA	0	0	0	0	0	1	1	0							
aroE	0	0	0	0	0	1	1	0							
opgH	0	0	0	0	0	1	1	0							
lon	0	0	0	0	0	1	1	0							
sapD	0	0	0	0	0	1	1	1							
ubiH	0	0	0	0	0	1	1	1							
cyaA	0	0	0	0	0	1	1	0							
ubiF	0	0	0	0	0	1	1	1							
opgG	0	0	0	0	0	1	1	0							
fre	0	0	0	0	0	1	1	0							
greA	0	0	0	0	0	1	1	0							
ubiE	0	0	0	0	0	1	1	1							
trkH	0	0	0	0	0	1	1	0							
aroD	0	0	0	0	0	1	1	0							
fadL	0	0	0	0	0	1	1	0							
rsmB	0	0	0	0	0	1	0	0							
fadD	0	0	0	0	0	1	1	0							
rep	0	0	0	0	0	1	0	0							
fabA	0	0	0	0	0	1	0	0							
sapC	0	0	0	0	0	1	1	0							
wzzE	0	0	0	0	0	1	1	0							
acrA	0	0	0	0	0	1	0	0							
paoB	0	0	0	0	0	0	1	0							
lpxD	0	0	0	0	0	0	1	0							
epmA	0	0	0	0	0	0	1	1							
hpf	0	0	0	0	0	0	1	0							
sspA	0	0	0	0	0	0	1	0							
fimB	0	0	0	0	0	0	1	0							
ubiI	0	0	0	0	0	0	1	0							
nuoG	0	0	0	0	0	0	1	0							
rimP	0	0	0	0	0	0	1	0							
sapF	0	0	0	0	0	0	1	1							
fimC	0	0	0	0	0	0	1	1							
glpR	0	0	0	0	0	0	1	0							
ubiD	0	0	0	0	0	0	1	0							
ybeX	0	0	0	0	0	0	1	0							
treC	0	0	0	0	0	0	1	0							
mlaD	0	0	0	0	0	0	1	0							
truD	0	0	0	0	0	0	1	0							
prc	0	0	0	0	0	0	1	0							
ldcA	0	0	0	0	0	0	1	0							
mrcA	0	0	0	0	0	0	1	0							
fabI	0	0	0	0	0	0	0	1							
cydC	0	0	0	0	0	0	0	1							
waaP	0	0	0	0	0	0	0	1							
waaG	0	0	0	0	0	0	0	1							
metA	0	0	0	0	0	0	0	1							
nirD	0	0	0	0	0	0	0	1							
atpG	0	0	0	0	0	0	0	1							
glnA	0	0	0	0	0	0	0	1							
ydjO	0	0	0	0	0	0	0	1
